given min = 8 and max = 1.7e+308
predicted solutions are
predicted_i, predicted_A, predicted_B, predicted_gcd,predicted_modcalls
2,1,2,0,1
3,2,3,1,2
5,3,5,1,3
8,5,8,1,4
13,8,13,1,5
21,13,21,1,6
34,21,34,1,7
55,34,55,1,8
89,55,89,1,9
144,89,144,1,10
233,144,233,1,11
377,233,377,1,12
610,377,610,1,13
987,610,987,1,14
1597,987,1597,1,15
2584,1597,2584,1,16
4181,2584,4181,1,17
6765,4181,6765,1,18
10946,6765,10946,1,19
17711,10946,17711,1,20
28657,17711,28657,1,21
46368,28657,46368,1,22
75025,46368,75025,1,23
121393,75025,121393,1,24
196418,121393,196418,1,25
317811,196418,317811,1,26
514229,317811,514229,1,27
832040,514229,832040,1,28
1.34627e+006,832040,1.34627e+006,1,29
2.17831e+006,1.34627e+006,2.17831e+006,1,30
3.52458e+006,2.17831e+006,3.52458e+006,1,31
5.70289e+006,3.52458e+006,5.70289e+006,1,32
9.22746e+006,5.70289e+006,9.22746e+006,1,33
1.49304e+007,9.22746e+006,1.49304e+007,1,34
2.41578e+007,1.49304e+007,2.41578e+007,1,35
3.90882e+007,2.41578e+007,3.90882e+007,1,36
6.3246e+007,3.90882e+007,6.3246e+007,1,37
1.02334e+008,6.3246e+007,1.02334e+008,1,38
1.6558e+008,1.02334e+008,1.6558e+008,1,39
2.67914e+008,1.6558e+008,2.67914e+008,1,40
4.33494e+008,2.67914e+008,4.33494e+008,1,41
7.01409e+008,4.33494e+008,7.01409e+008,1,42
1.1349e+009,7.01409e+008,1.1349e+009,1,43
1.83631e+009,1.1349e+009,1.83631e+009,1,44
2.97122e+009,1.83631e+009,2.97122e+009,1,45
4.80753e+009,2.97122e+009,4.80753e+009,1,46
7.77874e+009,4.80753e+009,7.77874e+009,1,47
1.25863e+010,7.77874e+009,1.25863e+010,1,48
2.0365e+010,1.25863e+010,2.0365e+010,1,49
3.29513e+010,2.0365e+010,3.29513e+010,1,50
5.33163e+010,3.29513e+010,5.33163e+010,1,51
8.62676e+010,5.33163e+010,8.62676e+010,1,52
1.39584e+011,8.62676e+010,1.39584e+011,1,53
2.25851e+011,1.39584e+011,2.25851e+011,1,54
3.65435e+011,2.25851e+011,3.65435e+011,1,55
5.91287e+011,3.65435e+011,5.91287e+011,1,56
9.56722e+011,5.91287e+011,9.56722e+011,1,57
1.54801e+012,9.56722e+011,1.54801e+012,1,58
2.50473e+012,1.54801e+012,2.50473e+012,1,59
4.05274e+012,2.50473e+012,4.05274e+012,1,60
6.55747e+012,4.05274e+012,6.55747e+012,1,61
1.06102e+013,6.55747e+012,1.06102e+013,1,62
1.71677e+013,1.06102e+013,1.71677e+013,1,63
2.77779e+013,1.71677e+013,2.77779e+013,1,64
4.49456e+013,2.77779e+013,4.49456e+013,1,65
7.27235e+013,4.49456e+013,7.27235e+013,1,66
1.17669e+014,7.27235e+013,1.17669e+014,1,67
1.90392e+014,1.17669e+014,1.90392e+014,1,68
3.08062e+014,1.90392e+014,3.08062e+014,1,69
4.98454e+014,3.08062e+014,4.98454e+014,1,70
8.06516e+014,4.98454e+014,8.06516e+014,1,71
1.30497e+015,8.06516e+014,1.30497e+015,1,72
2.11149e+015,1.30497e+015,2.11149e+015,1,73
3.41645e+015,2.11149e+015,3.41645e+015,1,74
5.52794e+015,3.41645e+015,5.52794e+015,1,75
8.94439e+015,5.52794e+015,8.94439e+015,1,76
1.44723e+016,8.94439e+015,1.44723e+016,1,77
2.34167e+016,1.44723e+016,2.34167e+016,1,78
3.78891e+016,2.34167e+016,3.78891e+016,1,79
6.13058e+016,3.78891e+016,6.13058e+016,1,80
9.91949e+016,6.13058e+016,9.91949e+016,1,81
1.60501e+017,9.91949e+016,1.60501e+017,1,82
2.59695e+017,1.60501e+017,2.59695e+017,1,83
4.20196e+017,2.59695e+017,4.20196e+017,1,84
6.79892e+017,4.20196e+017,6.79892e+017,1,85
1.10009e+018,6.79892e+017,1.10009e+018,1,86
1.77998e+018,1.10009e+018,1.77998e+018,1,87
2.88007e+018,1.77998e+018,2.88007e+018,1,88
4.66005e+018,2.88007e+018,4.66005e+018,1,89
7.54011e+018,4.66005e+018,7.54011e+018,1,90
1.22002e+019,7.54011e+018,1.22002e+019,1,91
1.97403e+019,1.22002e+019,1.97403e+019,1,92
3.19404e+019,1.97403e+019,3.19404e+019,1,93
5.16807e+019,3.19404e+019,5.16807e+019,1,94
8.36211e+019,5.16807e+019,8.36211e+019,1,95
1.35302e+020,8.36211e+019,1.35302e+020,1,96
2.18923e+020,1.35302e+020,2.18923e+020,1,97
3.54225e+020,2.18923e+020,3.54225e+020,1,98
5.73148e+020,3.54225e+020,5.73148e+020,1,99
9.27373e+020,5.73148e+020,9.27373e+020,1,100
1.50052e+021,9.27373e+020,1.50052e+021,1,101
2.42789e+021,1.50052e+021,2.42789e+021,1,102
3.92841e+021,2.42789e+021,3.92841e+021,1,103
6.35631e+021,3.92841e+021,6.35631e+021,1,104
1.02847e+022,6.35631e+021,1.02847e+022,1,105
1.6641e+022,1.02847e+022,1.6641e+022,1,106
2.69257e+022,1.6641e+022,2.69257e+022,1,107
4.35668e+022,2.69257e+022,4.35668e+022,1,108
7.04925e+022,4.35668e+022,7.04925e+022,1,109
1.14059e+023,7.04925e+022,1.14059e+023,1,110
1.84552e+023,1.14059e+023,1.84552e+023,1,111
2.98611e+023,1.84552e+023,2.98611e+023,1,112
4.83163e+023,2.98611e+023,4.83163e+023,1,113
7.81774e+023,4.83163e+023,7.81774e+023,1,114
1.26494e+024,7.81774e+023,1.26494e+024,1,115
2.04671e+024,1.26494e+024,2.04671e+024,1,116
3.31165e+024,2.04671e+024,3.31165e+024,1,117
5.35836e+024,3.31165e+024,5.35836e+024,1,118
8.67001e+024,5.35836e+024,8.67001e+024,1,119
1.40284e+025,8.67001e+024,1.40284e+025,1,120
2.26984e+025,1.40284e+025,2.26984e+025,1,121
3.67267e+025,2.26984e+025,3.67267e+025,1,122
5.94251e+025,3.67267e+025,5.94251e+025,1,123
9.61519e+025,5.94251e+025,9.61519e+025,1,124
1.55577e+026,9.61519e+025,1.55577e+026,1,125
2.51729e+026,1.55577e+026,2.51729e+026,1,126
4.07306e+026,2.51729e+026,4.07306e+026,1,127
6.59035e+026,4.07306e+026,6.59035e+026,1,128
1.06634e+027,6.59035e+026,1.06634e+027,1,129
1.72538e+027,1.06634e+027,1.72538e+027,1,130
2.79172e+027,1.72538e+027,2.79172e+027,1,131
4.51709e+027,2.79172e+027,4.51709e+027,1,132
7.30881e+027,4.51709e+027,7.30881e+027,1,133
1.18259e+028,7.30881e+027,1.18259e+028,1,134
1.91347e+028,1.18259e+028,1.91347e+028,1,135
3.09606e+028,1.91347e+028,3.09606e+028,1,136
5.00953e+028,3.09606e+028,5.00953e+028,1,137
8.10559e+028,5.00953e+028,8.10559e+028,1,138
1.31151e+029,8.10559e+028,1.31151e+029,1,139
2.12207e+029,1.31151e+029,2.12207e+029,1,140
