i,A,B,gcd,modulus operations
416,233,377,1,13
417,233,377,1,13
418,233,377,1,13
419,233,377,1,13
420,233,377,1,13
421,233,377,1,13
422,233,377,1,13
423,233,377,1,13
424,233,377,1,13
425,233,377,1,13
426,233,377,1,13
427,233,377,1,13
428,233,377,1,13
429,233,377,1,13
430,233,377,1,13
431,233,377,1,13
432,233,377,1,13
433,233,377,1,13
434,233,377,1,13
435,233,377,1,13
436,233,377,1,13
437,233,377,1,13
438,233,377,1,13
439,233,377,1,13
440,233,377,1,13
441,233,377,1,13
442,233,377,1,13
443,233,377,1,13
444,233,377,1,13
445,233,377,1,13
446,233,377,1,13
447,233,377,1,13
448,233,377,1,13
449,233,377,1,13
450,233,377,1,13
451,233,377,1,13
452,233,377,1,13
453,233,377,1,13
454,233,377,1,13
455,233,377,1,13
456,233,377,1,13
457,233,377,1,13
458,233,377,1,13
459,233,377,1,13
460,233,377,1,13
461,233,377,1,13
462,233,377,1,13
463,233,377,1,13
464,233,377,1,13
465,233,377,1,13
466,233,377,1,13
467,233,377,1,13
468,233,377,1,13
469,233,377,1,13
470,233,377,1,13
471,233,377,1,13
472,233,377,1,13
473,233,377,1,13
474,233,377,1,13
475,233,377,1,13
476,233,377,1,13
477,233,377,1,13
478,233,377,1,13
479,233,377,1,13
480,233,377,1,13
481,233,377,1,13
482,233,377,1,13
483,233,377,1,13
484,233,377,1,13
485,233,377,1,13
486,233,377,1,13
487,233,377,1,13
488,233,377,1,13
489,233,377,1,13
490,233,377,1,13
491,233,377,1,13
492,233,377,1,13
493,233,377,1,13
494,233,377,1,13
495,233,377,1,13
496,233,377,1,13
497,233,377,1,13
498,233,377,1,13
499,233,377,1,13
500,233,377,1,13
501,233,377,1,13
502,233,377,1,13
503,233,377,1,13
504,233,377,1,13
505,233,377,1,13
506,233,377,1,13
507,233,377,1,13
508,233,377,1,13
509,233,377,1,13
510,233,377,1,13
511,233,377,1,13
512,233,377,1,13
513,233,377,1,13
514,233,377,1,13
515,233,377,1,13


