i,A,B,gcd,modulus operations,t1,t1Units,t2,t2Units
8,5,8,1,4,3.754,us,3.851,us
9,5,8,1,4,3.915,us,3.851,NA
10,5,8,1,4,4.559,us,3.851,NA
11,8,11,1,4,5.662,us,3.851,NA
12,8,11,1,4,6.627,us,3.851,NA
13,8,13,1,5,7.79,us,52.508,us
14,8,13,1,5,9.052,us,52.508,NA
15,8,13,1,5,10.466,us,52.508,NA
16,8,13,1,5,11.893,us,52.508,NA
17,8,13,1,5,13.61,us,52.508,NA
18,13,18,1,5,15.426,us,52.508,NA
19,13,18,1,5,17.827,us,52.508,NA
20,13,18,1,5,18.999,us,52.508,NA
21,13,21,1,6,20.964,us,161.537,us
22,13,21,1,6,22.994,us,161.537,NA
23,13,21,1,6,25.659,us,161.537,NA
24,13,21,1,6,28.536,us,161.537,NA
25,13,21,1,6,31.052,us,161.537,NA
26,13,21,1,6,33.912,us,161.537,NA
27,13,21,1,6,36.481,us,161.537,NA
28,13,21,1,6,39.493,us,161.537,NA
29,21,29,1,6,42.502,us,161.537,NA
30,21,29,1,6,45.834,us,161.537,NA
31,21,29,1,6,49.631,us,161.537,NA
32,21,29,1,6,54.216,us,161.537,NA
33,21,29,1,6,57.421,us,161.537,NA
34,21,34,1,7,60.352,us,603.084,us
35,21,34,1,7,65.038,us,603.084,NA
36,21,34,1,7,67.807,us,603.084,NA
37,21,34,1,7,72.466,us,603.084,NA
38,21,34,1,7,76.672,us,603.084,NA
39,21,34,1,7,80.353,us,603.084,NA
40,21,34,1,7,85.859,us,603.084,NA
41,21,34,1,7,90.972,us,603.084,NA
42,21,34,1,7,95.472,us,603.084,NA
43,21,34,1,7,100.811,us,603.084,NA
44,21,34,1,7,104.564,us,603.084,NA
45,21,34,1,7,110.186,us,603.084,NA
46,21,34,1,7,116.933,us,603.084,NA
47,34,47,1,7,122.867,us,603.084,NA
48,34,47,1,7,127.775,us,603.084,NA
49,34,47,1,7,134.748,us,603.084,NA
50,34,47,1,7,141.174,us,603.084,NA
51,34,47,1,7,147.787,us,603.084,NA
52,34,47,1,7,154.223,us,603.084,NA
53,34,47,1,7,179.139,us,603.084,NA
54,34,47,1,7,166.814,us,603.084,NA
55,34,55,1,8,175.36,us,2.5456,ms
56,34,55,1,8,179.884,us,2.5456,NA
57,34,55,1,8,186.855,us,2.5456,NA
58,34,55,1,8,197.394,us,2.5456,NA
59,34,55,1,8,204.495,us,2.5456,NA
60,34,55,1,8,207.922,us,2.5456,NA
61,34,55,1,8,221.344,us,2.5456,NA
62,34,55,1,8,227.822,us,2.5456,NA
63,34,55,1,8,234.621,us,2.5456,NA
64,34,55,1,8,244.677,us,2.5456,NA
65,34,55,1,8,251.548,us,2.5456,NA
66,34,55,1,8,259.87,us,2.5456,NA
67,34,55,1,8,271.09,us,2.5456,NA
68,34,55,1,8,280.849,us,2.5456,NA
69,34,55,1,8,289.115,us,2.5456,NA
70,34,55,1,8,308.777,us,2.5456,NA
71,34,55,1,8,291.089,us,2.5456,NA
72,34,55,1,8,299.101,us,2.5456,NA
73,34,55,1,8,308.551,us,2.5456,NA
74,34,55,1,8,316.547,us,2.5456,NA
75,34,55,1,8,328.751,us,2.5456,NA
76,55,76,1,8,336.914,us,2.5456,NA
77,55,76,1,8,346.235,us,2.5456,NA
78,55,76,1,8,356.486,us,2.5456,NA
79,55,76,1,8,365.8,us,2.5456,NA
80,55,76,1,8,374.455,us,2.5456,NA
81,55,76,1,8,387.947,us,2.5456,NA
82,55,76,1,8,401.499,us,2.5456,NA
83,55,76,1,8,411.623,us,2.5456,NA
84,55,76,1,8,419.587,us,2.5456,NA
85,55,76,1,8,431.476,us,2.5456,NA
86,55,76,1,8,443.014,us,2.5456,NA
87,55,76,1,8,456.074,us,2.5456,NA
88,55,76,1,8,466.7,us,2.5456,NA
89,55,89,1,9,480.111,us,10.9826,ms
90,55,89,1,9,486.449,us,10.9826,NA
91,55,89,1,9,508.73,us,10.9826,NA
92,55,89,1,9,514.127,us,10.9826,NA
93,55,89,1,9,527.483,us,10.9826,NA
94,55,89,1,9,537.172,us,10.9826,NA
95,55,89,1,9,550.424,us,10.9826,NA
96,55,89,1,9,566.13,us,10.9826,NA
97,55,89,1,9,577.555,us,10.9826,NA
98,55,89,1,9,589.206,us,10.9826,NA
99,55,89,1,9,572.002,us,10.9826,NA
100,55,89,1,9,584.278,us,10.9826,NA
101,55,89,1,9,599.378,us,10.9826,NA
