i,A,B,gcd, Mod Ops,T1,T1 Units,T2,T2 Units
9900,6765,9349,1,18,5.38227,s,5.38227,s
9901,6765,9349,1,18,5.30717,s,5.38227,NA
9902,6765,9349,1,18,5.30656,s,5.38227,NA
9903,6765,9349,1,18,5.30942,s,5.38227,NA
9904,6765,9349,1,18,6.92301,s,5.38227,NA
9905,6765,9349,1,18,5.3111,s,5.38227,NA
9906,6765,9349,1,18,5.31353,s,5.38227,NA
9907,6765,9349,1,18,5.31521,s,5.38227,NA
9908,6765,9349,1,18,5.31594,s,5.38227,NA
9909,6765,9349,1,18,5.31409,s,5.38227,NA
9910,6765,9349,1,18,5.31724,s,5.38227,NA
9911,6765,9349,1,18,5.31943,s,5.38227,NA
9912,6765,9349,1,18,5.31874,s,5.38227,NA
9913,6765,9349,1,18,5.32063,s,5.38227,NA
9914,6765,9349,1,18,5.32286,s,5.38227,NA
9915,6765,9349,1,18,5.32327,s,5.38227,NA
9916,6765,9349,1,18,5.32475,s,5.38227,NA
9917,6765,9349,1,18,5.32693,s,5.38227,NA
9918,6765,9349,1,18,5.32764,s,5.38227,NA
9919,6765,9349,1,18,5.32717,s,5.38227,NA
9920,6765,9349,1,18,5.3297,s,5.38227,NA
9921,6765,9349,1,18,5.33063,s,5.38227,NA
9922,6765,9349,1,18,5.33614,s,5.38227,NA
9923,6765,9349,1,18,5.33105,s,5.38227,NA
9924,6765,9349,1,18,5.33606,s,5.38227,NA
9925,6765,9349,1,18,5.33573,s,5.38227,NA
9926,6765,9349,1,18,5.33594,s,5.38227,NA
9927,6765,9349,1,18,5.33716,s,5.38227,NA
9928,6765,9349,1,18,5.33688,s,5.38227,NA
9929,6765,9349,1,18,5.33892,s,5.38227,NA
9930,6765,9349,1,18,5.34077,s,5.38227,NA
9931,6765,9349,1,18,5.33974,s,5.38227,NA
9932,6765,9349,1,18,5.341,s,5.38227,NA
9933,6765,9349,1,18,5.34377,s,5.38227,NA
9934,6765,9349,1,18,5.34405,s,5.38227,NA
9935,6765,9349,1,18,5.34745,s,5.38227,NA
9936,6765,9349,1,18,5.34892,s,5.38227,NA
9937,6765,9349,1,18,5.35071,s,5.38227,NA
9938,6765,9349,1,18,5.35166,s,5.38227,NA
9939,6765,9349,1,18,5.34696,s,5.38227,NA
9940,6765,9349,1,18,5.35065,s,5.38227,NA
9941,6765,9349,1,18,5.35004,s,5.38227,NA
9942,6765,9349,1,18,5.35116,s,5.38227,NA
9943,6765,9349,1,18,5.35345,s,5.38227,NA
9944,6765,9349,1,18,5.35423,s,5.38227,NA
9945,6765,9349,1,18,5.358,s,5.38227,NA
9946,6765,9349,1,18,5.36059,s,5.38227,NA
9947,6765,9349,1,18,5.35857,s,5.38227,NA
9948,6765,9349,1,18,5.36195,s,5.38227,NA
9949,6765,9349,1,18,5.36153,s,5.38227,NA
9950,6765,9349,1,18,5.36107,s,5.38227,NA
9951,6765,9349,1,18,5.36346,s,5.38227,NA
9952,6765,9349,1,18,5.36533,s,5.38227,NA
9953,6765,9349,1,18,5.3652,s,5.38227,NA
9954,6765,9349,1,18,5.3653,s,5.38227,NA
9955,6765,9349,1,18,5.45351,s,5.38227,NA
9956,6765,9349,1,18,5.36925,s,5.38227,NA
9957,6765,9349,1,18,5.3709,s,5.38227,NA
9958,6765,9349,1,18,5.37197,s,5.38227,NA
9959,6765,9349,1,18,5.37402,s,5.38227,NA
9960,6765,9349,1,18,5.40689,s,5.38227,NA
9961,6765,9349,1,18,5.37655,s,5.38227,NA
9962,6765,9349,1,18,5.37548,s,5.38227,NA
9963,6765,9349,1,18,5.37521,s,5.38227,NA
9964,6765,9349,1,18,5.37835,s,5.38227,NA
9965,6765,9349,1,18,5.37658,s,5.38227,NA
9966,6765,9349,1,18,5.38061,s,5.38227,NA
