i,A,B,gcd,modulus operations
816,377,610,1,13
817,377,610,1,13
818,377,610,1,13
819,377,610,1,13
820,377,610,1,13
821,377,610,1,13
822,377,610,1,13
823,377,610,1,13
824,377,610,1,13
825,377,610,1,13
826,377,610,1,13
827,377,610,1,13
828,377,610,1,13
829,377,610,1,13
830,377,610,1,13
831,377,610,1,13
832,377,610,1,13
833,377,610,1,13
834,377,610,1,13
835,377,610,1,13
836,377,610,1,13
837,377,610,1,13
838,377,610,1,13
839,377,610,1,13
840,377,610,1,13
841,377,610,1,13
842,377,610,1,13
843,377,610,1,13
844,377,610,1,13
845,377,610,1,13
846,377,610,1,13
847,377,610,1,13
848,377,610,1,13
849,377,610,1,13
850,377,610,1,13
851,377,610,1,13
852,377,610,1,13
853,377,610,1,13
854,377,610,1,13
855,377,610,1,13
856,377,610,1,13
857,377,610,1,13
858,377,610,1,13
859,377,610,1,13
860,377,610,1,13
861,377,610,1,13
862,377,610,1,13
863,377,610,1,13
864,377,610,1,13
865,377,610,1,13
866,377,610,1,13
867,377,610,1,13
868,377,610,1,13
869,377,610,1,13
870,377,610,1,13
871,377,610,1,13
872,377,610,1,13
873,377,610,1,13
874,377,610,1,13
875,377,610,1,13
876,377,610,1,13
877,377,610,1,13
878,377,610,1,13
879,377,610,1,13
880,377,610,1,13
881,377,610,1,13
882,377,610,1,13
883,377,610,1,13
884,377,610,1,13
885,377,610,1,13
886,377,610,1,13
887,377,610,1,13
888,377,610,1,13
889,377,610,1,13
890,377,610,1,13
891,377,610,1,13
892,377,610,1,13
893,377,610,1,13
894,377,610,1,13
895,377,610,1,13
896,377,610,1,13
897,377,610,1,13
898,377,610,1,13
899,377,610,1,13
900,377,610,1,13
901,377,610,1,13
902,377,610,1,13
903,377,610,1,13
904,377,610,1,13
905,377,610,1,13
906,377,610,1,13
907,377,610,1,13
908,377,610,1,13
909,377,610,1,13
910,377,610,1,13
911,377,610,1,13
912,377,610,1,13
913,377,610,1,13
914,377,610,1,13
915,377,610,1,13


