i,A,B,gcd,modulus operations
616,377,610,1,13
617,377,610,1,13
618,377,610,1,13
619,377,610,1,13
620,377,610,1,13
621,377,610,1,13
622,377,610,1,13
623,377,610,1,13
624,377,610,1,13
625,377,610,1,13
626,377,610,1,13
627,377,610,1,13
628,377,610,1,13
629,377,610,1,13
630,377,610,1,13
631,377,610,1,13
632,377,610,1,13
633,377,610,1,13
634,377,610,1,13
635,377,610,1,13
636,377,610,1,13
637,377,610,1,13
638,377,610,1,13
639,377,610,1,13
640,377,610,1,13
641,377,610,1,13
642,377,610,1,13
643,377,610,1,13
644,377,610,1,13
645,377,610,1,13
646,377,610,1,13
647,377,610,1,13
648,377,610,1,13
649,377,610,1,13
650,377,610,1,13
651,377,610,1,13
652,377,610,1,13
653,377,610,1,13
654,377,610,1,13
655,377,610,1,13
656,377,610,1,13
657,377,610,1,13
658,377,610,1,13
659,377,610,1,13
660,377,610,1,13
661,377,610,1,13
662,377,610,1,13
663,377,610,1,13
664,377,610,1,13
665,377,610,1,13
666,377,610,1,13
667,377,610,1,13
668,377,610,1,13
669,377,610,1,13
670,377,610,1,13
671,377,610,1,13
672,377,610,1,13
673,377,610,1,13
674,377,610,1,13
675,377,610,1,13
676,377,610,1,13
677,377,610,1,13
678,377,610,1,13
679,377,610,1,13
680,377,610,1,13
681,377,610,1,13
682,377,610,1,13
683,377,610,1,13
684,377,610,1,13
685,377,610,1,13
686,377,610,1,13
687,377,610,1,13
688,377,610,1,13
689,377,610,1,13
690,377,610,1,13
691,377,610,1,13
692,377,610,1,13
693,377,610,1,13
694,377,610,1,13
695,377,610,1,13
696,377,610,1,13
697,377,610,1,13
698,377,610,1,13
699,377,610,1,13
700,377,610,1,13
701,377,610,1,13
702,377,610,1,13
703,377,610,1,13
704,377,610,1,13
705,377,610,1,13
706,377,610,1,13
707,377,610,1,13
708,377,610,1,13
709,377,610,1,13
710,377,610,1,13
711,377,610,1,13
712,377,610,1,13
713,377,610,1,13
714,377,610,1,13
715,377,610,1,13


