10, mergesort, 219, nano-seconds, 1
100, mergesort, 214, nano-seconds, 1
1000, mergesort, 208, nano-seconds, 1
10000, mergesort, 206, nano-seconds, 1
10, mergesort, 208, nano-seconds, 1
100, mergesort, 230, nano-seconds, 1
1000, mergesort, 238, nano-seconds, 1
10000, mergesort, 236, nano-seconds, 1
10, mergesort, 233, nano-seconds, 1
100, mergesort, 210, nano-seconds, 1
1000, mergesort, 205, nano-seconds, 1
10000, mergesort, 231, nano-seconds, 1
10, mergesort, 208, nano-seconds, 1
100, mergesort, 207, nano-seconds, 1
1000, mergesort, 207, nano-seconds, 1
10000, mergesort, 204, nano-seconds, 1
10, mergesort, 207, nano-seconds, 1
100, mergesort, 204, nano-seconds, 1
1000, mergesort, 211, nano-seconds, 1
10000, mergesort, 206, nano-seconds, 1
10, mergesort, 205, nano-seconds, 1
100, mergesort, 207, nano-seconds, 1
1000, mergesort, 208, nano-seconds, 1
10000, mergesort, 210, nano-seconds, 1
10, mergesort, 207, nano-seconds, 1
100, mergesort, 206, nano-seconds, 1
1000, mergesort, 206, nano-seconds, 1
10000, mergesort, 208, nano-seconds, 1
10, mergesort, 209, nano-seconds, 1
100, mergesort, 205, nano-seconds, 1
1000, mergesort, 206, nano-seconds, 1
10000, mergesort, 204, nano-seconds, 1
10, mergesort, 232, nano-seconds, 1
100, mergesort, 207, nano-seconds, 1
1000, mergesort, 210, nano-seconds, 1
10000, mergesort, 248, nano-seconds, 1
10, mergesort, 233, nano-seconds, 1
100, mergesort, 236, nano-seconds, 1
1000, mergesort, 234, nano-seconds, 1
10000, mergesort, 231, nano-seconds, 1
10, mergesort, 238, nano-seconds, 1
100, mergesort, 234, nano-seconds, 1
1000, mergesort, 231, nano-seconds, 1
10000, mergesort, 234, nano-seconds, 1
10, mergesort, 235, nano-seconds, 1
100, mergesort, 232, nano-seconds, 1
1000, mergesort, 239, nano-seconds, 1
10000, mergesort, 233, nano-seconds, 1
10, mergesort, 239, nano-seconds, 1
100, mergesort, 236, nano-seconds, 1
1000, mergesort, 234, nano-seconds, 1
10000, mergesort, 231, nano-seconds, 1
10, mergesort, 233, nano-seconds, 1
100, mergesort, 233, nano-seconds, 1
1000, mergesort, 236, nano-seconds, 1
10000, mergesort, 233, nano-seconds, 1
10, mergesort, 231, nano-seconds, 1
100, mergesort, 236, nano-seconds, 1
1000, mergesort, 248, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 222, nano-seconds, 1
1000, mergesort, 224, nano-seconds, 1
10000, mergesort, 224, nano-seconds, 1
10, mergesort, 224, nano-seconds, 1
100, mergesort, 222, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 229, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 210, nano-seconds, 1
10000, mergesort, 208, nano-seconds, 1
10, mergesort, 236, nano-seconds, 1
100, mergesort, 212, nano-seconds, 1
1000, mergesort, 213, nano-seconds, 1
10000, mergesort, 211, nano-seconds, 1
10, mergesort, 211, nano-seconds, 1
100, mergesort, 209, nano-seconds, 1
1000, mergesort, 235, nano-seconds, 1
10000, mergesort, 208, nano-seconds, 1
10, mergesort, 209, nano-seconds, 1
100, mergesort, 210, nano-seconds, 1
1000, mergesort, 223, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 225, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 248, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 250, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 218, nano-seconds, 1
10000, mergesort, 236, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 222, nano-seconds, 1
10000, mergesort, 229, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 234, nano-seconds, 1
1000, mergesort, 224, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 224, nano-seconds, 1
100, mergesort, 227, nano-seconds, 1
1000, mergesort, 224, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 224, nano-seconds, 1
1000, mergesort, 224, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 224, nano-seconds, 1
100, mergesort, 222, nano-seconds, 1
1000, mergesort, 222, nano-seconds, 1
10000, mergesort, 224, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 224, nano-seconds, 1
1000, mergesort, 224, nano-seconds, 1
10000, mergesort, 224, nano-seconds, 1
10, mergesort, 224, nano-seconds, 1
100, mergesort, 248, nano-seconds, 1
1000, mergesort, 233, nano-seconds, 1
10000, mergesort, 234, nano-seconds, 1
10, mergesort, 236, nano-seconds, 1
100, mergesort, 236, nano-seconds, 1
1000, mergesort, 233, nano-seconds, 1
10000, mergesort, 233, nano-seconds, 1
10, mergesort, 231, nano-seconds, 1
100, mergesort, 233, nano-seconds, 1
1000, mergesort, 222, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 224, nano-seconds, 1
1000, mergesort, 222, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 234, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 209, nano-seconds, 1
100, mergesort, 227, nano-seconds, 1
1000, mergesort, 222, nano-seconds, 1
10000, mergesort, 209, nano-seconds, 1
10, mergesort, 210, nano-seconds, 1
100, mergesort, 209, nano-seconds, 1
1000, mergesort, 209, nano-seconds, 1
10000, mergesort, 236, nano-seconds, 1
10, mergesort, 212, nano-seconds, 1
100, mergesort, 214, nano-seconds, 1
1000, mergesort, 209, nano-seconds, 1
10000, mergesort, 212, nano-seconds, 1
10, mergesort, 209, nano-seconds, 1
100, mergesort, 209, nano-seconds, 1
1000, mergesort, 211, nano-seconds, 1
10000, mergesort, 209, nano-seconds, 1
10, mergesort, 213, nano-seconds, 1
100, mergesort, 210, nano-seconds, 1
1000, mergesort, 210, nano-seconds, 1
10000, mergesort, 209, nano-seconds, 1
10, mergesort, 208, nano-seconds, 1
100, mergesort, 210, nano-seconds, 1
1000, mergesort, 209, nano-seconds, 1
10000, mergesort, 209, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 210, nano-seconds, 1
1000, mergesort, 209, nano-seconds, 1
10000, mergesort, 209, nano-seconds, 1
10, mergesort, 211, nano-seconds, 1
100, mergesort, 214, nano-seconds, 1
1000, mergesort, 220, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 219, nano-seconds, 1
1000, mergesort, 223, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 236, nano-seconds, 1
1000, mergesort, 234, nano-seconds, 1
10000, mergesort, 236, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 225, nano-seconds, 1
1000, mergesort, 223, nano-seconds, 1
10000, mergesort, 217, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 251, nano-seconds, 1
1000, mergesort, 236, nano-seconds, 1
10000, mergesort, 217, nano-seconds, 1
10, mergesort, 236, nano-seconds, 1
100, mergesort, 213, nano-seconds, 1
1000, mergesort, 212, nano-seconds, 1
10000, mergesort, 210, nano-seconds, 1
10, mergesort, 210, nano-seconds, 1
100, mergesort, 212, nano-seconds, 1
1000, mergesort, 211, nano-seconds, 1
10000, mergesort, 210, nano-seconds, 1
10, mergesort, 213, nano-seconds, 1
100, mergesort, 209, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 250, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 220, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 224, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 217, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 253, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 219, nano-seconds, 1
10000, mergesort, 217, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 222, nano-seconds, 1
1000, mergesort, 222, nano-seconds, 1
10000, mergesort, 218, nano-seconds, 1
10, mergesort, 222, nano-seconds, 1
100, mergesort, 222, nano-seconds, 1
1000, mergesort, 226, nano-seconds, 1
10000, mergesort, 211, nano-seconds, 1
10, mergesort, 235, nano-seconds, 1
100, mergesort, 209, nano-seconds, 1
1000, mergesort, 209, nano-seconds, 1
10000, mergesort, 209, nano-seconds, 1
10, mergesort, 208, nano-seconds, 1
100, mergesort, 210, nano-seconds, 1
1000, mergesort, 213, nano-seconds, 1
10000, mergesort, 211, nano-seconds, 1
10, mergesort, 208, nano-seconds, 1
100, mergesort, 208, nano-seconds, 1
1000, mergesort, 251, nano-seconds, 1
10000, mergesort, 231, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 220, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 234, nano-seconds, 1
100, mergesort, 224, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 233, nano-seconds, 1
10, mergesort, 223, nano-seconds, 1
100, mergesort, 219, nano-seconds, 1
1000, mergesort, 223, nano-seconds, 1
10000, mergesort, 219, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 223, nano-seconds, 1
1000, mergesort, 233, nano-seconds, 1
10000, mergesort, 223, nano-seconds, 1
10, mergesort, 223, nano-seconds, 1
100, mergesort, 218, nano-seconds, 1
1000, mergesort, 219, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 218, nano-seconds, 1
100, mergesort, 219, nano-seconds, 1
1000, mergesort, 250, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 217, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 220, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 248, nano-seconds, 1
100, mergesort, 217, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 218, nano-seconds, 1
1000, mergesort, 220, nano-seconds, 1
10000, mergesort, 220, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 223, nano-seconds, 1
10000, mergesort, 218, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 221, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 223, nano-seconds, 1
10, mergesort, 221, nano-seconds, 1
100, mergesort, 223, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 223, nano-seconds, 1
10, mergesort, 217, nano-seconds, 1
100, mergesort, 248, nano-seconds, 1
1000, mergesort, 219, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 218, nano-seconds, 1
1000, mergesort, 221, nano-seconds, 1
10000, mergesort, 224, nano-seconds, 1
10, mergesort, 219, nano-seconds, 1
100, mergesort, 220, nano-seconds, 1
1000, mergesort, 248, nano-seconds, 1
10000, mergesort, 221, nano-seconds, 1
10, mergesort, 220, nano-seconds, 1
100, mergesort, 223, nano-seconds, 1
1000, mergesort, 217, nano-seconds, 1
10000, mergesort, 222, nano-seconds, 1
