10, quicksort, 2.049, micro-seconds, 1
100, quicksort, 1.877, micro-seconds, 1
1000, quicksort, 1.914, micro-seconds, 1
10000, quicksort, 1.751, micro-seconds, 1
10, quicksort, 1.804, micro-seconds, 1
100, quicksort, 1.741, micro-seconds, 1
1000, quicksort, 1.766, micro-seconds, 1
10000, quicksort, 1.76, micro-seconds, 1
10, quicksort, 1.736, micro-seconds, 1
100, quicksort, 1.818, micro-seconds, 1
1000, quicksort, 1.726, micro-seconds, 1
10000, quicksort, 1.757, micro-seconds, 1
10, quicksort, 1.744, micro-seconds, 1
100, quicksort, 1.759, micro-seconds, 1
1000, quicksort, 1.741, micro-seconds, 1
10000, quicksort, 1.764, micro-seconds, 1
10, quicksort, 1.762, micro-seconds, 1
100, quicksort, 1.738, micro-seconds, 1
1000, quicksort, 1.758, micro-seconds, 1
10000, quicksort, 1.764, micro-seconds, 1
10, quicksort, 1.72, micro-seconds, 1
100, quicksort, 1.756, micro-seconds, 1
1000, quicksort, 1.726, micro-seconds, 1
10000, quicksort, 1.732, micro-seconds, 1
10, quicksort, 1.758, micro-seconds, 1
100, quicksort, 1.751, micro-seconds, 1
1000, quicksort, 1.951, micro-seconds, 1
10000, quicksort, 1.735, micro-seconds, 1
10, quicksort, 1.76, micro-seconds, 1
100, quicksort, 1.755, micro-seconds, 1
1000, quicksort, 1.806, micro-seconds, 1
10000, quicksort, 1.816, micro-seconds, 1
10, quicksort, 1.744, micro-seconds, 1
100, quicksort, 1.827, micro-seconds, 1
1000, quicksort, 1.827, micro-seconds, 1
10000, quicksort, 1.872, micro-seconds, 1
10, quicksort, 1.955, micro-seconds, 1
100, quicksort, 1.863, micro-seconds, 1
1000, quicksort, 1.87, micro-seconds, 1
10000, quicksort, 1.92, micro-seconds, 1
10, quicksort, 1.842, micro-seconds, 1
100, quicksort, 1.827, micro-seconds, 1
1000, quicksort, 1.848, micro-seconds, 1
10000, quicksort, 1.872, micro-seconds, 1
10, quicksort, 1.877, micro-seconds, 1
100, quicksort, 1.879, micro-seconds, 1
1000, quicksort, 1.887, micro-seconds, 1
10000, quicksort, 1.885, micro-seconds, 1
10, quicksort, 1.877, micro-seconds, 1
100, quicksort, 1.891, micro-seconds, 1
1000, quicksort, 1.839, micro-seconds, 1
10000, quicksort, 1.884, micro-seconds, 1
10, quicksort, 1.833, micro-seconds, 1
100, quicksort, 1.882, micro-seconds, 1
1000, quicksort, 1.889, micro-seconds, 1
10000, quicksort, 1.885, micro-seconds, 1
10, quicksort, 1.891, micro-seconds, 1
100, quicksort, 1.879, micro-seconds, 1
1000, quicksort, 11.509, micro-seconds, 1
10000, quicksort, 1.931, micro-seconds, 1
10, quicksort, 1.913, micro-seconds, 1
100, quicksort, 1.859, micro-seconds, 1
1000, quicksort, 1.924, micro-seconds, 1
10000, quicksort, 1.83, micro-seconds, 1
10, quicksort, 1.926, micro-seconds, 1
100, quicksort, 1.854, micro-seconds, 1
1000, quicksort, 1.924, micro-seconds, 1
10000, quicksort, 1.932, micro-seconds, 1
10, quicksort, 1.873, micro-seconds, 1
100, quicksort, 1.925, micro-seconds, 1
1000, quicksort, 2, micro-seconds, 1
10000, quicksort, 1.844, micro-seconds, 1
10, quicksort, 1.931, micro-seconds, 1
100, quicksort, 1.872, micro-seconds, 1
1000, quicksort, 1.736, micro-seconds, 1
10000, quicksort, 1.742, micro-seconds, 1
10, quicksort, 1.817, micro-seconds, 1
100, quicksort, 1.76, micro-seconds, 1
1000, quicksort, 1.764, micro-seconds, 1
10000, quicksort, 1.726, micro-seconds, 1
10, quicksort, 1.992, micro-seconds, 1
100, quicksort, 1.766, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.77, micro-seconds, 1
100, quicksort, 1.758, micro-seconds, 1
1000, quicksort, 1.734, micro-seconds, 1
10000, quicksort, 1.718, micro-seconds, 1
10, quicksort, 1.733, micro-seconds, 1
100, quicksort, 1.716, micro-seconds, 1
1000, quicksort, 1.772, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.713, micro-seconds, 1
100, quicksort, 1.716, micro-seconds, 1
1000, quicksort, 1.737, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.738, micro-seconds, 1
100, quicksort, 1.947, micro-seconds, 1
1000, quicksort, 1.736, micro-seconds, 1
10000, quicksort, 1.737, micro-seconds, 1
10, quicksort, 1.962, micro-seconds, 1
100, quicksort, 1.738, micro-seconds, 1
1000, quicksort, 1.717, micro-seconds, 1
10000, quicksort, 1.73, micro-seconds, 1
10, quicksort, 1.992, micro-seconds, 1
100, quicksort, 1.934, micro-seconds, 1
1000, quicksort, 1.87, micro-seconds, 1
10000, quicksort, 1.908, micro-seconds, 1
10, quicksort, 1.933, micro-seconds, 1
100, quicksort, 1.865, micro-seconds, 1
1000, quicksort, 1.868, micro-seconds, 1
10000, quicksort, 1.924, micro-seconds, 1
10, quicksort, 1.912, micro-seconds, 1
100, quicksort, 1.877, micro-seconds, 1
1000, quicksort, 1.931, micro-seconds, 1
10000, quicksort, 1.87, micro-seconds, 1
10, quicksort, 1.87, micro-seconds, 1
100, quicksort, 1.912, micro-seconds, 1
1000, quicksort, 1.922, micro-seconds, 1
10000, quicksort, 1.898, micro-seconds, 1
10, quicksort, 1.908, micro-seconds, 1
100, quicksort, 1.946, micro-seconds, 1
1000, quicksort, 1.9, micro-seconds, 1
10000, quicksort, 1.84, micro-seconds, 1
10, quicksort, 1.845, micro-seconds, 1
100, quicksort, 1.936, micro-seconds, 1
1000, quicksort, 1.924, micro-seconds, 1
10000, quicksort, 1.933, micro-seconds, 1
10, quicksort, 1.934, micro-seconds, 1
100, quicksort, 1.877, micro-seconds, 1
1000, quicksort, 1.875, micro-seconds, 1
10000, quicksort, 1.88, micro-seconds, 1
10, quicksort, 1.877, micro-seconds, 1
100, quicksort, 1.88, micro-seconds, 1
1000, quicksort, 1.894, micro-seconds, 1
10000, quicksort, 1.838, micro-seconds, 1
10, quicksort, 1.875, micro-seconds, 1
100, quicksort, 1.878, micro-seconds, 1
1000, quicksort, 1.877, micro-seconds, 1
10000, quicksort, 1.908, micro-seconds, 1
10, quicksort, 1.911, micro-seconds, 1
100, quicksort, 1.924, micro-seconds, 1
1000, quicksort, 1.9, micro-seconds, 1
10000, quicksort, 1.915, micro-seconds, 1
10, quicksort, 1.943, micro-seconds, 1
100, quicksort, 1.908, micro-seconds, 1
1000, quicksort, 1.899, micro-seconds, 1
10000, quicksort, 1.873, micro-seconds, 1
10, quicksort, 1.88, micro-seconds, 1
100, quicksort, 1.742, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.741, micro-seconds, 1
100, quicksort, 1.875, micro-seconds, 1
1000, quicksort, 1.863, micro-seconds, 1
10000, quicksort, 1.875, micro-seconds, 1
10, quicksort, 1.736, micro-seconds, 1
100, quicksort, 1.875, micro-seconds, 1
1000, quicksort, 1.752, micro-seconds, 1
10000, quicksort, 1.816, micro-seconds, 1
10, quicksort, 1.81, micro-seconds, 1
100, quicksort, 1.756, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.739, micro-seconds, 1
100, quicksort, 1.875, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.77, micro-seconds, 1
10, quicksort, 1.767, micro-seconds, 1
100, quicksort, 1.742, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.875, micro-seconds, 1
100, quicksort, 1.768, micro-seconds, 1
1000, quicksort, 1.762, micro-seconds, 1
10000, quicksort, 1.736, micro-seconds, 1
10, quicksort, 1.73, micro-seconds, 1
100, quicksort, 1.723, micro-seconds, 1
1000, quicksort, 1.737, micro-seconds, 1
10000, quicksort, 1.704, micro-seconds, 1
10, quicksort, 1.784, micro-seconds, 1
100, quicksort, 1.952, micro-seconds, 1
1000, quicksort, 1.734, micro-seconds, 1
10000, quicksort, 1.734, micro-seconds, 1
