225-3851,Inspiron 15 Notebook (Inspiron  3521)
,Part Number,Description,Quantity
,J802J,"LABEL, INFORMATION, NOTEBOOK, INSPIRON, BTSS",1
,6337P,"LABEL, SVC TAG/EXPRESS CODE, LATC",1
318-2396,Tray load DVD Drive (Reads and  Writes to DVD/CD)
,Part Number,Description,Quantity
,TTYK0,"DVD+/-RW, 8X, Serial ATA, 9.5T, PLDS",1
331-9122,"Dell Chiclet Keyboard with Mul ti-touch Touchpad, US English"
,Part Number,Description,Quantity
,YH3FC,"KEYBOARD, 102, UNITED STATES, ENGLAND/ENGLISH, C14SN",1
319-1206,Black Matte with textured fini sh
,Part Number,Description,Quantity
,Y3PX8,"ASSEMBLY, CAMERA, 0.92M, W/MIC, OAK",1
,616VF,"KIT, COVER, LIQUID CRYSTAL DISPLAY, B, WIRELESS LOCAL AREA NETWORK CARD, 3521",1
330-2996,Retail Military Warranty Support Tech Sheet
,Part Number,Description,Quantity
,M731J,"TECHNICAL SHEET, WARRANTY, SUPPORT",1
430-4598,Software for Dell Wireless-N +  Bluetooth 4.0
,Part Number,Description,Quantity
,FXP0D,"CARD (CIRCUIT), WIRELESS, HMC, DW1703, BGN, WORLD WIDE",1
,8MP9V,"LABEL, REGULATORY, WIRELESS, DW1703, WORLD WIDE",1
320-9387,15.6 inch LED Backlit Display with Truelife and HD resolutio n (1366 x 768)
,Part Number,Description,Quantity
,DR1KW,"ASSEMBLY, CABLE, LVDS, HARD DRIVE, W/CMRA, OAK 15",1
,N3KMP,"LIQUID CRYSTAL DISPLAY, 15.6HDF, FLAT, WLED, TLF, LEGEND",1
331-9225,English Documentation
,Part Number,Description,Quantity
,RP19D,"PLACEMAT, GETTING STARTED, INSPIRON, OAK5VL, GLOBAL, W8",1
,NDH7M,"GUIDE, PRODUCT, INFORMATION, SERI, ENGLAND/ENGLISH, DELL AMERICAS ORGANIZATION",1
,PJ8GD,"LABEL, REGULATORY, COO, CONTROLLER/NO CABLE, 3521",1
342-5185,500GB 5400 RPM Hard Drive
,Part Number,Description,Quantity
,89DCY,"HARD DRIVE, 500, S2, 5.4, 512E, M8BP",1
312-1394,"65 WHr, 6-Cell Battery (remova ble)"
,Part Number,Description,Quantity
,YGMTN,"BATTERY, PRIMARY, 65WHR, 6C, LITHIUM, SIMPLO",1
319-1172,4GB Single Channel DDR3 1600MH z (4GBx1)
,Part Number,Description,Quantity
,FYHV1,"DUAL IN-LINE MEMORY MODULE, 4GB, 1600MHZ, 512X64, 8K, 204",1
331-2152,65W AC Power Cord
,Part Number,Description,Quantity
,K260C,"CORD, POWER, 125V, 2.5A, 1M, C5, UNITED STATES",1
319-1674,"3rd Generation Intel Core i5-3 337U processor (3M Cache, up t o 2.7 GHz)"
,Part Number,Description,Quantity
,9RN2C,"ADAPTER, ALTERNATING CURRENT, 65W, CHICONY CORP, 3P, PWA INTEGRATED, WORLD WIDE",1
,010T1,"ASSEMBLY, BASE (ASSEMBLY OR GROUP), NOTEBOOK, UNIFIED MEMORY ARCHITECTURE, I53337U, 3521",1
,MY297,"LABEL, FASCIA, INTEL, CARTON",1
,G9NYF,"LABEL, REGULATORY, W/O RECY, JAPAN/JAPANESE, INS, OAK15",1
,54K1R,"LABEL, INTEL, NO BIOS, CI52",1
421-8687,"Windows 8, 64-bit, English"
,Part Number,Description,Quantity
,T6CXV,"DPK, OPERATING SYSTEM, W8H32/64",1
,X2F61,"LABEL, GML INC, MICROSOFT, OPERATING SYSTEM, CONSUMER",1
331-9625,"Shipping Material, Slim"
,Part Number,Description,Quantity
,0X4P2,"SHIPPING MATERIAL, BOX, ACCESSORY, NOTEBOOK, 15, SALEM",1
,5MJ24,"SHIPPING MATERIAL, BAG, NOTEBOOK, 12.5X18, POLY FOAM",1
,HHM16,"SHIPPING MATERIAL, BOX, SYSTEM, NOTEBOOK, 15, SALEM",1
,JHCG5,"SHIPPING MATERIAL, CUSHION, NOTEBOOK, 15, SALEM, TOP",1
,CPVKY,"SHIPPING MATERIAL, DOCUMENTATION, PAD, NOTEBOOK, 15",1
,V660C,"SHIPPING MATERIAL, CUSHION, NOTEBOOK, 15, SALEM, BOTTOM",1
,D4N6H,"SHIPPING MATERIAL, FOAM, NOTEBOOK, LIQUID CRYSTAL DISPLAY, 15",1
331-0877,"Retail Label, Dell, RETURNPOL"
,Part Number,Description,Quantity
,36GRR,"LABEL, RETAIL, DELL COMPUTER CORPORATION, RETURNPOL",1
730-3637,Fixed Hardware Configuration
,Part Number,Description,Quantity
,04G7X,FGA Proxy MOD 04G7X for SKU 730-3637,1
332-0643,"Palmrest Label, English"
,Part Number,Description,Quantity
,81T78,"LABEL, RETAIL, 3521, PALMREST, ENGLAND/ENGLISH",1
331-2724,ESTAR 5.0
,Part Number,Description,Quantity
,1CHTF,"LABEL, DEO, ENERGY STAR",1
332-0993,RtlPck#62733 CR McMullen Oak 1 5 Value Inspiron 15 Black
,Part Number,Description,Quantity
,Y1KPX,"LABEL, RETAIL, INS NB, 3521, CRMC, 62733",1
